IndividualID	Gender	Population
HG01879	1	ACB
HG01880	2	ACB
HG01881	2	ACB
HG01882	1	ACB
HG01883	2	ACB
HG01888	1	ACB
HG01884	2	ACB
HG01885	1	ACB
HG01956	2	ACB
HG01886	2	ACB
HG01887	1	ACB
HG02014	1	ACB
HG01889	2	ACB
HG01890	1	ACB
HG01891	2	ACB
HG01894	2	ACB
HG01895	1	ACB
HG01912	1	ACB
HG01896	2	ACB
HG01897	1	ACB
HG02013	1	ACB
HG01985	2	ACB
HG01914	1	ACB
HG01915	2	ACB
HG01916	2	ACB
HG01958	2	ACB
HG01959	2	ACB
HG01986	1	ACB
HG01960	2	ACB
HG01988	1	ACB
HG01989	2	ACB
HG01987	1	ACB
HG01990	1	ACB
HG02012	2	ACB
HG02009	1	ACB
HG02010	2	ACB
HG02011	1	ACB
HG02051	1	ACB
HG02052	2	ACB
HG02053	1	ACB
HG02054	2	ACB
HG02055	1	ACB
HG02095	2	ACB
HG02332	1	ACB
HG02107	1	ACB
HG02108	2	ACB
HG02111	2	ACB
HG02143	1	ACB
HG02144	2	ACB
HG02145	1	ACB
HG02255	1	ACB
HG02256	2	ACB
HG02257	2	ACB
HG02258	1	ACB
HG02314	1	ACB
HG02315	2	ACB
HG02280	2	ACB
HG02307	1	ACB
HG02308	2	ACB
HG02281	1	ACB
HG02282	2	ACB
HG02321	2	ACB
HG02283	1	ACB
HG02309	2	ACB
HG02284	1	ACB
HG02316	1	ACB
HG02317	1	ACB
HG02318	2	ACB
HG02322	2	ACB
HG02323	1	ACB
HG02325	2	ACB
HG02337	2	ACB
HG02334	1	ACB
HG02330	1	ACB
HG02339	2	ACB
HG02343	1	ACB
HG02419	2	ACB
HG02420	1	ACB
HG02427	2	ACB
HG02428	1	ACB
HG02429	1	ACB
HG02436	1	ACB
HG02433	1	ACB
HG02439	1	ACB
HG02442	1	ACB
HG02445	1	ACB
HG02489	1	ACB
HG02449	1	ACB
HG02450	2	ACB
HG02451	2	ACB
HG02455	1	ACB
HG02470	1	ACB
HG02471	2	ACB
HG02476	2	ACB
HG02477	2	ACB
HG02478	1	ACB
HG02479	2	ACB
HG02480	2	ACB
HG02481	1	ACB
HG02484	1	ACB
HG02485	2	ACB
HG02486	1	ACB
HG02511	2	ACB
HG02496	1	ACB
HG02497	2	ACB
HG02501	1	ACB
HG02502	2	ACB
HG02505	2	ACB
HG02508	2	ACB
HG02536	1	ACB
HG02537	2	ACB
HG02541	1	ACB
HG02545	1	ACB
HG02546	2	ACB
HG02547	1	ACB
HG02549	2	ACB
HG02554	1	ACB
HG02555	2	ACB
HG02557	1	ACB
HG02558	2	ACB
HG02559	2	ACB
HG02577	2	ACB
HG02580	2	ACB
NA19625	2	ASW
NA20274	2	ASW
NA19700	1	ASW
NA19701	2	ASW
NA19702	1	ASW
NA19703	1	ASW
NA19704	2	ASW
NA19705	1	ASW
NA19707	2	ASW
NA19708	2	ASW
NA19711	1	ASW
NA19712	2	ASW
NA19818	1	ASW
NA19819	2	ASW
NA19828	1	ASW
NA19834	1	ASW
NA19835	2	ASW
NA19836	2	ASW
NA19900	1	ASW
NA19901	2	ASW
NA19902	2	ASW
NA19904	1	ASW
NA19905	2	ASW
NA19913	2	ASW
NA19908	1	ASW
NA19909	2	ASW
NA19919	1	ASW
NA19914	2	ASW
NA19915	1	ASW
