IndividualID	Gender	Population
HG00096	1	GBR
HG00097	2	GBR
HG00099	2	GBR
HG00100	2	GBR
HG00101	1	GBR
HG00102	2	GBR
HG00103	1	GBR
HG00104	2	GBR
HG00106	2	GBR
HG00108	1	GBR
HG00109	1	GBR
HG00110	2	GBR
HG00111	2	GBR
HG00112	1	GBR
HG00113	1	GBR
HG00114	1	GBR
HG00116	1	GBR
HG00117	1	GBR
HG00118	2	GBR
HG00119	1	GBR
HG00120	2	GBR
HG00121	2	GBR
HG00122	2	GBR
HG00123	2	GBR
HG00124	2	GBR
HG00125	2	GBR
HG00126	1	GBR
HG00127	2	GBR
HG00128	2	GBR
HG00129	1	GBR
HG00130	2	GBR
HG00131	1	GBR
HG00133	2	GBR
HG00134	2	GBR
HG00135	2	GBR
HG00136	1	GBR
HG00137	2	GBR
HG00138	1	GBR
HG00139	1	GBR
HG00140	1	GBR
HG00141	1	GBR
HG00142	1	GBR
HG00143	1	GBR
HG00146	2	GBR
HG00148	1	GBR
HG00149	1	GBR
HG00150	2	GBR
HG00151	1	GBR
HG00152	1	GBR
HG00154	2	GBR
HG00155	1	GBR
HG00156	1	GBR
HG00158	2	GBR
HG00159	1	GBR
HG00160	1	GBR
HG00171	2	FIN
HG00173	2	FIN
HG00174	2	FIN
HG00176	2	FIN
HG00177	2	FIN
HG00178	2	FIN
HG00179	2	FIN
HG00180	2	FIN
HG00182	1	FIN
HG00183	1	FIN
HG00185	1	FIN
HG00186	1	FIN
HG00187	1	FIN
HG00188	1	FIN
HG00189	1	FIN
HG00190	1	FIN
HG00231	2	GBR
HG00232	2	GBR
HG00233	2	GBR
HG00234	1	GBR
HG00235	2	GBR
HG00236	2	GBR
HG00237	2	GBR
HG00238	2	GBR
HG00239	2	GBR
HG00240	2	GBR
HG00242	1	GBR
HG00243	1	GBR
HG00244	1	GBR
HG00245	2	GBR
HG00246	1	GBR
HG00247	2	GBR
HG00249	2	GBR
HG00250	2	GBR
HG00251	1	GBR
HG00252	1	GBR
HG00253	2	GBR
HG00254	2	GBR
HG00255	2	GBR
HG00256	1	GBR
HG00257	2	GBR
HG00258	2	GBR
HG00259	2	GBR
HG00260	1	GBR
HG00261	2	GBR
HG00262	2	GBR
HG00263	2	GBR
HG00264	1	GBR
HG00265	1	GBR
HG00266	2	FIN
HG00267	1	FIN
HG00268	2	FIN
HG00269	2	FIN
HG00270	2	FIN
HG00271	1	FIN
HG00272	2	FIN
HG00273	1	FIN
HG00274	2	FIN
HG00275	2	FIN
HG00276	2	FIN
HG00277	1	FIN
HG00278	1	FIN
HG00280	1	FIN
HG00281	2	FIN
HG00282	2	FIN
HG00284	1	FIN
HG00285	2	FIN
HG00306	2	FIN
HG00309	2	FIN
HG00310	1	FIN
HG00311	1	FIN
HG00312	1	FIN
HG00313	2	FIN
HG00315	2	FIN
HG00318	2	FIN
HG00319	2	FIN
HG00320	2	FIN
HG00321	1	FIN
